cell_id,cell_type,batch,split
D29-7_50,alpha,celseq2,train
human4_lib1.final_cell_0101,ductal,inDrop4,validation
human1_lib3.final_cell_0431,endothelial,inDrop1,train
human1_lib3.final_cell_0194,beta,inDrop1,test
human2_lib3.final_cell_0287,alpha,inDrop2,train
human2_lib2.final_cell_0296,delta,inDrop2,train
D73_30,delta,celseq,train
D17TGFB_88,ductal,celseq,train
human3_lib4.final_cell_0599,beta,inDrop3,train
Sample_814,beta,smarter,train
human3_lib1.final_cell_0615,ductal,inDrop3,test
human3_lib2.final_cell_0331,beta,inDrop3,train
D29-8_19,gamma,celseq2,validation
human3_lib2.final_cell_0866,ductal,inDrop3,test
human1_lib1.final_cell_0130,beta,inDrop1,train
human1_lib3.final_cell_0693,quiescent_stellate,inDrop1,train
HP1504901_O7,alpha,smartseq2,train
human2_lib2.final_cell_0303,alpha,inDrop2,test
Sample_122,beta,smarter,validation
Sample_156,beta,smarter,train
HP1526901T2D_C4,alpha,smartseq2,train
human3_lib1.final_cell_0890,quiescent_stellate,inDrop3,train
human3_lib4.final_cell_0251,beta,inDrop3,train
human2_lib3.final_cell_0307,beta,inDrop2,train
human4_lib3.final_cell_0379,alpha,inDrop4,train
human4_lib1.final_cell_0520,ductal,inDrop4,train
human1_lib2.final_cell_0398,beta,inDrop1,validation
HP1508501T2D_H10,alpha,smartseq2,validation
human1_lib2.final_cell_0440,beta,inDrop1,train
human2_lib3.final_cell_0435,ductal,inDrop2,train
human1_lib1.final_cell_0482,beta,inDrop1,train
Sample_683,beta,smarter,test
human3_lib3.final_cell_0467,acinar,inDrop3,train
human2_lib2.final_cell_0007,ductal,inDrop2,train
D28-6_51,acinar,celseq2,train
Sample_463,alpha,smarter,train
human3_lib1.final_cell_0608,ductal,inDrop3,validation
human2_lib3.final_cell_0493,quiescent_stellate,inDrop2,train
human1_lib2.final_cell_0474,gamma,inDrop1,train
HP1525301T2D_J18,gamma,smartseq2,train
human4_lib1.final_cell_0065,ductal,inDrop4,test
human3_lib4.final_cell_0442,ductal,inDrop3,train
D29-2_84,alpha,celseq2,validation
human3_lib2.final_cell_0162,ductal,inDrop3,test
human3_lib3.final_cell_0595,alpha,inDrop3,test
D29-2_11,beta,celseq2,validation
human3_lib2.final_cell_0161,ductal,inDrop3,train
Sample_320,alpha,smarter,train
human3_lib1.final_cell_0831,endothelial,inDrop3,train
human2_lib1.final_cell_0417,alpha,inDrop2,train
HP1508501T2D_N7,ductal,smartseq2,train
human3_lib4.final_cell_0429,beta,inDrop3,validation
5th-C43_S121,ductal,fluidigmc1,train
D28-7_74,activated_stellate,celseq2,train
D74_67,alpha,celseq,train
Sample_501,alpha,smarter,train
Sample_1309,alpha,smarter,train
human3_lib2.final_cell_0465,beta,inDrop3,train
human2_lib2.final_cell_0229,beta,inDrop2,train
human3_lib2.final_cell_0144,beta,inDrop3,train
human3_lib2.final_cell_0553,beta,inDrop3,validation
Sample_220,alpha,smarter,train
human3_lib4.final_cell_0259,alpha,inDrop3,train
7th-C96_S82,beta,fluidigmc1,train
human3_lib4.final_cell_0747,delta,inDrop3,train
human1_lib3.final_cell_0140,beta,inDrop1,train
Sample_782,beta,smarter,train
D28-6_37,alpha,celseq2,test
D30-1_30,acinar,celseq2,train
human1_lib1.final_cell_0397,beta,inDrop1,test
human3_lib4.final_cell_0744,alpha,inDrop3,validation
human4_lib1.final_cell_0544,ductal,inDrop4,train
human1_lib1.final_cell_0017,beta,inDrop1,train
D28-1_26,endothelial,celseq2,train
2nd-C74_S53,alpha,fluidigmc1,train
HP1509101_F13,alpha,smartseq2,test
human2_lib1.final_cell_0383,alpha,inDrop2,train
human4_lib3.final_cell_0105,beta,inDrop4,test
Sample_346,alpha,smarter,validation
human2_lib1.final_cell_0336,alpha,inDrop2,train
D71_81,ductal,celseq,train
human2_lib2.final_cell_0167,alpha,inDrop2,validation
human4_lib3.final_cell_0053,delta,inDrop4,train
D31-6_13,acinar,celseq2,train
Sample_635,gamma,smarter,train
human1_lib3.final_cell_0196,beta,inDrop1,validation
AZ_A8,beta,smartseq2,test
human3_lib3.final_cell_0879,beta,inDrop3,train
D30-6_69,ductal,celseq2,train
human1_lib2.final_cell_0376,beta,inDrop1,train
human3_lib1.final_cell_0884,endothelial,inDrop3,train
human3_lib2.final_cell_0690,ductal,inDrop3,train
human3_lib1.final_cell_0701,alpha,inDrop3,validation
human4_lib3.final_cell_0564,beta,inDrop4,test
human2_lib2.final_cell_0586,beta,inDrop2,train
human4_lib1.final_cell_0325,beta,inDrop4,validation
Sample_825,beta,smarter,train
HP1506401_C17,ductal,smartseq2,train
9th-C91_S78,beta,fluidigmc1,train
human2_lib2.final_cell_0335,delta,inDrop2,validation
HP1526901T2D_N21,ductal,smartseq2,train
Sample_603,delta,smarter,validation
HP1504901_M4,gamma,smartseq2,validation
D28-3_17,mast,celseq2,train
human3_lib1.final_cell_0092,acinar,inDrop3,train
AZ_C1,alpha,smartseq2,train
HP1526901T2D_G13,alpha,smartseq2,train
D17All1_77,delta,celseq,test
HP1508501T2D_L5,ductal,smartseq2,test
D2ex_74,ductal,celseq,validation
human2_lib1.final_cell_0076,beta,inDrop2,train
human3_lib3.final_cell_0206,beta,inDrop3,train
human3_lib1.final_cell_0178,beta,inDrop3,test
human2_lib3.final_cell_0160,beta,inDrop2,test
HP1506401_A17,beta,smartseq2,test
HP1504901_O1,gamma,smartseq2,train
human2_lib1.final_cell_0468,schwann,inDrop2,validation
D31-2_56,alpha,celseq2,train
D30-7_12,alpha,celseq2,train
human3_lib1.final_cell_0471,alpha,inDrop3,train
D30-2_37,alpha,celseq2,test
D29-6_89,alpha,celseq2,train
D73_68,acinar,celseq,train
human3_lib2.final_cell_0784,alpha,inDrop3,train
D29-8_59,alpha,celseq2,validation
human3_lib1.final_cell_0598,acinar,inDrop3,train
D29-5_8,alpha,celseq2,validation
HP1504101T2D_J3,gamma,smartseq2,train
D74_75,alpha,celseq,train
human3_lib4.final_cell_0545,alpha,inDrop3,train
Sample_552,alpha,smarter,train
D28-3_8,alpha,celseq2,validation
Sample_184,beta,smarter,train
human1_lib3.final_cell_0603,ductal,inDrop1,validation
HP1506401_G13,alpha,smartseq2,train
human4_lib3.final_cell_0297,beta,inDrop4,test
Sample_106,beta,smarter,train
HP1502401_L1,alpha,smartseq2,train
D71_76,alpha,celseq,train
Sample_305,alpha,smarter,train
D17TGFB_2,alpha,celseq,train
human4_lib1.final_cell_0140,delta,inDrop4,train
HP1506401_F7,ductal,smartseq2,train
human3_lib3.final_cell_0693,ductal,inDrop3,test
HP1526901T2D_J22,delta,smartseq2,train
HP1508501T2D_C15,ductal,smartseq2,train
Sample_495,alpha,smarter,train
D29-8_82,alpha,celseq2,train
HP1507101_B14,alpha,smartseq2,train
D31-7_47,beta,celseq2,train
human2_lib2.final_cell_0388,ductal,inDrop2,train
human3_lib2.final_cell_0159,acinar,inDrop3,validation
13th_C89_S211,beta,fluidigmc1,train
human1_lib2.final_cell_0393,beta,inDrop1,train
human2_lib3.final_cell_0193,alpha,inDrop2,train
D17All1_73,alpha,celseq,train
human3_lib1.final_cell_0772,ductal,inDrop3,train
human3_lib1.final_cell_0763,alpha,inDrop3,train
human3_lib1.final_cell_0644,alpha,inDrop3,train
HP1508501T2D_C17,beta,smartseq2,train
human4_lib3.final_cell_0699,beta,inDrop4,train
human3_lib3.final_cell_0157,acinar,inDrop3,train
D28-5_49,delta,celseq2,train
human1_lib2.final_cell_0250,alpha,inDrop1,test
D30-4_17,delta,celseq2,train
D74_86,beta,celseq,train
HP1508501T2D_D16,alpha,smartseq2,train
D28-6_64,activated_stellate,celseq2,train
human3_lib3.final_cell_0654,ductal,inDrop3,train
human3_lib3.final_cell_0802,mast,inDrop3,train
human1_lib2.final_cell_0215,beta,inDrop1,test
human2_lib3.final_cell_0357,activated_stellate,inDrop2,test
HP1506401_J16,epsilon,smartseq2,train
Sample_1243,alpha,smarter,validation
human1_lib3.final_cell_0022,activated_stellate,inDrop1,train
human3_lib2.final_cell_0285,beta,inDrop3,train
10th_C34_S92,alpha,fluidigmc1,train
human1_lib2.final_cell_0028,delta,inDrop1,train
HP1507101_A3,delta,smartseq2,train
human1_lib1.final_cell_0171,acinar,inDrop1,test
human3_lib1.final_cell_0815,delta,inDrop3,train
human1_lib3.final_cell_0672,beta,inDrop1,test
human2_lib3.final_cell_0149,delta,inDrop2,train
human2_lib3.final_cell_0272,beta,inDrop2,train
human2_lib1.final_cell_0178,alpha,inDrop2,train
human3_lib2.final_cell_0020,acinar,inDrop3,test
HP1504101T2D_E8,gamma,smartseq2,train
human3_lib2.final_cell_0875,alpha,inDrop3,train
human4_lib3.final_cell_0204,ductal,inDrop4,train
D101_21,endothelial,celseq,train
human3_lib2.final_cell_0197,alpha,inDrop3,test
human3_lib1.final_cell_0609,alpha,inDrop3,test
HP1526901T2D_M3,gamma,smartseq2,train
human1_lib2.final_cell_0157,activated_stellate,inDrop1,train
D28-4_76,alpha,celseq2,train
human3_lib3.final_cell_0275,beta,inDrop3,train
HP1525301T2D_B6,activated_stellate,smartseq2,train
Sample_185,beta,smarter,train
Sample_750,beta,smarter,train
human3_lib4.final_cell_0858,beta,inDrop3,validation
13th_C36_S196,schwann,fluidigmc1,train
D31-6_1,activated_stellate,celseq2,validation
human1_lib1.final_cell_0044,activated_stellate,inDrop1,validation
human2_lib3.final_cell_0503,alpha,inDrop2,train
D29-5_5,alpha,celseq2,train
human4_lib3.final_cell_0195,alpha,inDrop4,train
human4_lib1.final_cell_0589,beta,inDrop4,train
HP1526901T2D_C10,beta,smartseq2,train
human2_lib2.final_cell_0265,beta,inDrop2,validation
human3_lib4.final_cell_0189,alpha,inDrop3,train
D31-2_67,alpha,celseq2,train
human3_lib1.final_cell_0552,alpha,inDrop3,train
D29-1_79,beta,celseq2,train
human2_lib2.final_cell_0298,gamma,inDrop2,train
HP1508501T2D_B3,alpha,smartseq2,train
human1_lib3.final_cell_0137,beta,inDrop1,train
human3_lib1.final_cell_0281,alpha,inDrop3,validation
human4_lib3.final_cell_0534,beta,inDrop4,train
human4_lib1.final_cell_0466,ductal,inDrop4,train
D28-6_89,acinar,celseq2,test
human2_lib2.final_cell_0169,ductal,inDrop2,train
HP1508501T2D_E4,acinar,smartseq2,validation
D31-4_53,alpha,celseq2,train
HP1526901T2D_M2,beta,smartseq2,train
human4_lib3.final_cell_0614,alpha,inDrop4,train
HP1508501T2D_H18,gamma,smartseq2,test
D17All1_58,alpha,celseq,train
human2_lib1.final_cell_0309,ductal,inDrop2,train
human2_lib3.final_cell_0141,beta,inDrop2,validation
human1_lib2.final_cell_0024,ductal,inDrop1,train
D29-5_44,alpha,celseq2,train
Sample_248,alpha,smarter,test
human3_lib4.final_cell_0699,alpha,inDrop3,train
human1_lib2.final_cell_0082,beta,inDrop1,train
human2_lib3.final_cell_0539,alpha,inDrop2,train
human4_lib3.final_cell_0310,beta,inDrop4,test
human3_lib4.final_cell_0725,alpha,inDrop3,train
human3_lib4.final_cell_0034,acinar,inDrop3,train
human4_lib3.final_cell_0092,beta,inDrop4,train
D28-5_41,alpha,celseq2,train
human1_lib3.final_cell_0219,beta,inDrop1,train
HP1502401_G18,acinar,smartseq2,train
D31-4_80,alpha,celseq2,train
Sample_362,alpha,smarter,validation
human3_lib4.final_cell_0733,alpha,inDrop3,test
human4_lib3.final_cell_0668,beta,inDrop4,train
human1_lib3.final_cell_0288,activated_stellate,inDrop1,train
D30-3_70,alpha,celseq2,validation
human1_lib1.final_cell_0197,gamma,inDrop1,train
D17All2_29,ductal,celseq,train
Sample_100,beta,smarter,test
human3_lib3.final_cell_0319,alpha,inDrop3,validation
D30-5_56,beta,celseq2,validation
human2_lib3.final_cell_0217,ductal,inDrop2,test
human4_lib1.final_cell_0508,alpha,inDrop4,train
D31-1_63,beta,celseq2,train
D31-3_81,ductal,celseq2,test
human1_lib2.final_cell_0522,beta,inDrop1,train
11th-C37_S6,alpha,fluidigmc1,train
Sample_1314,alpha,smarter,train
human3_lib2.final_cell_0617,alpha,inDrop3,train
HP1526901T2D_D3,ductal,smartseq2,validation
D28-5_87,alpha,celseq2,train
Sample_1173,alpha,smarter,train
D30-3_7,alpha,celseq2,train
human3_lib2.final_cell_0804,beta,inDrop3,train
D31-1_47,beta,celseq2,train
human1_lib2.final_cell_0617,quiescent_stellate,inDrop1,train
human2_lib1.final_cell_0213,ductal,inDrop2,test
human3_lib2.final_cell_0422,beta,inDrop3,train
Sample_590,delta,smarter,train
Sample_404,alpha,smarter,train
human1_lib3.final_cell_0294,alpha,inDrop1,validation
human3_lib3.final_cell_0269,beta,inDrop3,train
human1_lib1.final_cell_0075,beta,inDrop1,test
D74_29,alpha,celseq,validation
human1_lib3.final_cell_0643,beta,inDrop1,train
HP1509101_L6,alpha,smartseq2,train
HP1507101_J12,activated_stellate,smartseq2,train
human3_lib4.final_cell_0719,ductal,inDrop3,train
HP1502401_L12,alpha,smartseq2,test
D31-8_8,beta,celseq2,train
human3_lib4.final_cell_0712,alpha,inDrop3,train
human3_lib4.final_cell_0802,ductal,inDrop3,train
human1_lib1.final_cell_0327,alpha,inDrop1,test
human1_lib1.final_cell_0271,delta,inDrop1,test
human2_lib2.final_cell_0406,alpha,inDrop2,train
human3_lib2.final_cell_0551,alpha,inDrop3,validation
D31-7_42,ductal,celseq2,train
human3_lib4.final_cell_0540,ductal,inDrop3,train
human3_lib3.final_cell_0774,endothelial,inDrop3,validation
HP1502401_N19,alpha,smartseq2,test
Sample_1065,alpha,smarter,train
D29-6_41,alpha,celseq2,test
D31-5_60,acinar,celseq2,validation
human3_lib1.final_cell_0345,delta,inDrop3,validation
human2_lib2.final_cell_0289,alpha,inDrop2,test
12th-C67_S205,beta,fluidigmc1,train
human4_lib3.final_cell_0271,delta,inDrop4,test
D28-3_92,alpha,celseq2,validation
human3_lib3.final_cell_0725,acinar,inDrop3,train
Sample_134,beta,smarter,train
Sample_655,beta,smarter,train
HP1502401_M8,acinar,smartseq2,test
D28-1_64,mast,celseq2,train
AZ_A2,gamma,smartseq2,train
human4_lib1.final_cell_0328,gamma,inDrop4,train
HP1526901T2D_M13,epsilon,smartseq2,validation
human4_lib1.final_cell_0421,alpha,inDrop4,validation
HP1504101T2D_G8,gamma,smartseq2,train
human3_lib2.final_cell_0615,delta,inDrop3,train
human4_lib3.final_cell_0199,beta,inDrop4,validation
human3_lib1.final_cell_0160,ductal,inDrop3,train
human2_lib3.final_cell_0316,alpha,inDrop2,test
human3_lib3.final_cell_0438,endothelial,inDrop3,validation
human3_lib3.final_cell_0191,acinar,inDrop3,test
human3_lib2.final_cell_0711,alpha,inDrop3,train
human3_lib1.final_cell_0067,acinar,inDrop3,train
Sample_1434,alpha,smarter,train
HP1526901T2D_A21,ductal,smartseq2,train
D3en4_26,acinar,celseq,test
human1_lib1.final_cell_0435,alpha,inDrop1,test
human2_lib2.final_cell_0267,alpha,inDrop2,train
HP1506401_P4,ductal,smartseq2,test
human1_lib3.final_cell_0268,beta,inDrop1,train
D28-2_28,alpha,celseq2,train
HP1507101_H6,alpha,smartseq2,train
D31-5_66,alpha,celseq2,train
human1_lib3.final_cell_0383,beta,inDrop1,train
human3_lib2.final_cell_0052,acinar,inDrop3,validation
Sample_518,alpha,smarter,train
human1_lib3.final_cell_0522,beta,inDrop1,train
D29-7_54,delta,celseq2,train
D31-5_18,delta,celseq2,validation
human3_lib3.final_cell_0860,endothelial,inDrop3,train
human3_lib1.final_cell_0017,acinar,inDrop3,test
D28-1_88,alpha,celseq2,validation
AZ_G1,alpha,smartseq2,test
D17All1_87,beta,celseq,train
3rd-C91_S91,alpha,fluidigmc1,test
human3_lib4.final_cell_0787,beta,inDrop3,train
D31-7_53,beta,celseq2,validation
human3_lib4.final_cell_0619,ductal,inDrop3,train
human3_lib2.final_cell_0455,alpha,inDrop3,train
HP1509101_G15,alpha,smartseq2,train
HP1502401_E7,gamma,smartseq2,train
human4_lib3.final_cell_0256,alpha,inDrop4,train
human3_lib2.final_cell_0697,activated_stellate,inDrop3,test
HP1502401_C8,delta,smartseq2,train
human1_lib2.final_cell_0309,activated_stellate,inDrop1,test
human2_lib3.final_cell_0218,alpha,inDrop2,train
human3_lib1.final_cell_0887,beta,inDrop3,train
human3_lib1.final_cell_0192,delta,inDrop3,train
human3_lib4.final_cell_0277,acinar,inDrop3,train
human3_lib3.final_cell_0665,delta,inDrop3,train
human2_lib1.final_cell_0252,beta,inDrop2,train
HP1506401_J18,alpha,smartseq2,train
D29-7_72,alpha,celseq2,train
D3en4_63,ductal,celseq,train
human3_lib4.final_cell_0269,acinar,inDrop3,validation
human1_lib3.final_cell_0622,delta,inDrop1,test
human4_lib3.final_cell_0633,beta,inDrop4,train
human3_lib1.final_cell_0102,alpha,inDrop3,test
human3_lib3.final_cell_0729,alpha,inDrop3,train
human2_lib1.final_cell_0108,alpha,inDrop2,train
human2_lib2.final_cell_0133,beta,inDrop2,test
D3en4_33,delta,celseq,train
human3_lib2.final_cell_0212,alpha,inDrop3,train
D1713_4,ductal,celseq,train
D31-3_37,ductal,celseq2,train
human1_lib3.final_cell_0250,beta,inDrop1,train
human3_lib1.final_cell_0758,beta,inDrop3,test
human3_lib4.final_cell_0819,quiescent_stellate,inDrop3,train
HP1506401_D17,ductal,smartseq2,train
human1_lib3.final_cell_0365,alpha,inDrop1,train
human1_lib2.final_cell_0541,beta,inDrop1,train
HP1504901_L17,beta,smartseq2,train
HP1504901_F4,alpha,smartseq2,train
human4_lib1.final_cell_0439,ductal,inDrop4,validation
human3_lib3.final_cell_0835,endothelial,inDrop3,train
human1_lib2.final_cell_0473,delta,inDrop1,validation
HP1506401_P12,beta,smartseq2,train
human3_lib3.final_cell_0126,acinar,inDrop3,train
Sample_1008,alpha,smarter,train
D3en2_74,acinar,celseq,train
human3_lib3.final_cell_0555,beta,inDrop3,validation
D30-2_7,beta,celseq2,train
human1_lib3.final_cell_0446,beta,inDrop1,test
human4_lib3.final_cell_0302,beta,inDrop4,test
human1_lib2.final_cell_0590,endothelial,inDrop1,train
human3_lib3.final_cell_0627,alpha,inDrop3,train
human1_lib2.final_cell_0506,beta,inDrop1,train
human2_lib1.final_cell_0085,alpha,inDrop2,test
human1_lib2.final_cell_0032,gamma,inDrop1,test
D30-2_88,alpha,celseq2,test
human1_lib3.final_cell_0457,epsilon,inDrop1,train
HP1502401_O24,alpha,smartseq2,train
HP1506401_I12,beta,smartseq2,train
human3_lib3.final_cell_0723,acinar,inDrop3,train
human3_lib1.final_cell_0786,endothelial,inDrop3,train
human3_lib2.final_cell_0103,delta,inDrop3,train
human2_lib1.final_cell_0343,alpha,inDrop2,validation
HP1506401_N21,acinar,smartseq2,validation
human3_lib3.final_cell_0518,activated_stellate,inDrop3,validation
D17All1_52,acinar,celseq,train
human2_lib3.final_cell_0047,delta,inDrop2,train
HP1507101_B1,alpha,smartseq2,train
2nd-C77_S59,alpha,fluidigmc1,train
human2_lib3.final_cell_0180,alpha,inDrop2,train
human3_lib2.final_cell_0133,alpha,inDrop3,train
D29-4_46,alpha,celseq2,train
D17All2_27,alpha,celseq,train
D29-7_23,gamma,celseq2,validation
human2_lib1.final_cell_0503,alpha,inDrop2,train
human3_lib1.final_cell_0188,delta,inDrop3,train
human3_lib1.final_cell_0009,acinar,inDrop3,train
8th-C7_S95,alpha,fluidigmc1,train
D74_61,beta,celseq,train
D2ex_56,ductal,celseq,train
human2_lib2.final_cell_0032,ductal,inDrop2,validation
human1_lib3.final_cell_0287,beta,inDrop1,train
human1_lib3.final_cell_0117,beta,inDrop1,train
D74_64,delta,celseq,train
Sample_1479,alpha,smarter,train
D17All2_14,gamma,celseq,validation
D74_51,beta,celseq,train
Sample_1510,alpha,smarter,train
9th-C74_S48,alpha,fluidigmc1,train
HP1508501T2D_G5,beta,smartseq2,train
Sample_1280,alpha,smarter,test
human3_lib1.final_cell_0360,acinar,inDrop3,train
D17All2_83,activated_stellate,celseq,train
human1_lib2.final_cell_0564,beta,inDrop1,validation
human3_lib1.final_cell_0256,alpha,inDrop3,train
HP1502401_M10,alpha,smartseq2,train
13th_C23_S187,endothelial,fluidigmc1,train
human4_lib3.final_cell_0222,ductal,inDrop4,train
human2_lib1.final_cell_0506,alpha,inDrop2,train
D29-6_63,delta,celseq2,train
human2_lib3.final_cell_0161,delta,inDrop2,train
HP1509101_M14,ductal,smartseq2,train
HP1525301T2D_H3,ductal,smartseq2,test
Sample_386,alpha,smarter,train
human2_lib3.final_cell_0444,alpha,inDrop2,train
human3_lib2.final_cell_0301,alpha,inDrop3,validation
human2_lib1.final_cell_0245,alpha,inDrop2,train
D30-7_45,alpha,celseq2,train
D17All2_15,alpha,celseq,validation
human3_lib3.final_cell_0299,ductal,inDrop3,train
human1_lib1.final_cell_0500,activated_stellate,inDrop1,train
D29-5_89,ductal,celseq2,validation
human3_lib3.final_cell_0159,delta,inDrop3,train
human2_lib2.final_cell_0247,ductal,inDrop2,train
4th-C28_S55,beta,fluidigmc1,test
HP1526901T2D_H10,beta,smartseq2,train
D30-3_44,alpha,celseq2,test
D31-3_62,delta,celseq2,test
human2_lib2.final_cell_0589,beta,inDrop2,train
D30-1_54,alpha,celseq2,test
HP1507101_O17,alpha,smartseq2,test
human1_lib3.final_cell_0498,alpha,inDrop1,train
human1_lib1.final_cell_0210,beta,inDrop1,validation
human1_lib3.final_cell_0083,alpha,inDrop1,train
human3_lib4.final_cell_0739,beta,inDrop3,train
D3ex_74,acinar,celseq,train
human3_lib1.final_cell_0484,acinar,inDrop3,train
HP1526901T2D_D4,ductal,smartseq2,train
human3_lib3.final_cell_0593,acinar,inDrop3,validation
Sample_597,delta,smarter,train
human2_lib2.final_cell_0031,beta,inDrop2,train
human1_lib3.final_cell_0023,delta,inDrop1,validation
human1_lib3.final_cell_0557,beta,inDrop1,train
human3_lib4.final_cell_0602,alpha,inDrop3,validation
human3_lib2.final_cell_0387,delta,inDrop3,train
human2_lib2.final_cell_0184,delta,inDrop2,train
human4_lib1.final_cell_0576,beta,inDrop4,train
human3_lib4.final_cell_0628,alpha,inDrop3,train
4th-C83_S71,alpha,fluidigmc1,train
D28-7_68,activated_stellate,celseq2,train
human3_lib3.final_cell_0694,ductal,inDrop3,train
D17All1_19,beta,celseq,train
HP1508501T2D_A23,acinar,smartseq2,train
human3_lib4.final_cell_0579,alpha,inDrop3,train
human3_lib2.final_cell_0498,alpha,inDrop3,validation
D17All1_56,ductal,celseq,train
human3_lib3.final_cell_0867,alpha,inDrop3,train
D31-2_72,beta,celseq2,train
human2_lib1.final_cell_0095,delta,inDrop2,validation
AZ_C2,alpha,smartseq2,train
HP1507101_M8,beta,smartseq2,train
human3_lib1.final_cell_0526,acinar,inDrop3,validation
Sample_537,alpha,smarter,train
human3_lib3.final_cell_0249,beta,inDrop3,train
human2_lib3.final_cell_0154,alpha,inDrop2,train
human2_lib1.final_cell_0452,gamma,inDrop2,train
human2_lib3.final_cell_0350,delta,inDrop2,train
human1_lib2.final_cell_0352,beta,inDrop1,train
D29-2_6,alpha,celseq2,train
D29-2_4,delta,celseq2,test
human1_lib3.final_cell_0616,alpha,inDrop1,train
human4_lib1.final_cell_0395,gamma,inDrop4,validation
human3_lib4.final_cell_0589,delta,inDrop3,validation
human2_lib3.final_cell_0017,ductal,inDrop2,train
human1_lib3.final_cell_0368,beta,inDrop1,train
human4_lib3.final_cell_0673,beta,inDrop4,train
HP1508501T2D_K9,alpha,smartseq2,train
human3_lib3.final_cell_0353,alpha,inDrop3,validation
human1_lib2.final_cell_0518,beta,inDrop1,train
D31-3_69,acinar,celseq2,test
human3_lib2.final_cell_0637,ductal,inDrop3,train
Sample_89,beta,smarter,train
human4_lib1.final_cell_0096,macrophage,inDrop4,train
D28-2_4,acinar,celseq2,train
D31-2_6,acinar,celseq2,train
human1_lib3.final_cell_0108,beta,inDrop1,train
HP1502401_D6,beta,smartseq2,train
human3_lib4.final_cell_0356,acinar,inDrop3,train
human3_lib3.final_cell_0428,beta,inDrop3,test
human1_lib1.final_cell_0467,delta,inDrop1,train
HP1525301T2D_B4,alpha,smartseq2,train
10th_C46_S94,endothelial,fluidigmc1,test
D71_45,ductal,celseq,validation
human3_lib2.final_cell_0118,acinar,inDrop3,test
human3_lib2.final_cell_0594,beta,inDrop3,train
human3_lib4.final_cell_0459,acinar,inDrop3,train
human3_lib2.final_cell_0406,ductal,inDrop3,train
Sample_344,alpha,smarter,train
human1_lib1.final_cell_0332,alpha,inDrop1,train
Sample_8,beta,smarter,train
HP1507101_J20,beta,smartseq2,validation
human3_lib4.final_cell_0255,activated_stellate,inDrop3,train
D29-4_56,alpha,celseq2,train
Sample_481,alpha,smarter,train
human4_lib1.final_cell_0196,gamma,inDrop4,train
human3_lib3.final_cell_0489,beta,inDrop3,train
HP1525301T2D_L23,ductal,smartseq2,validation
HP1507101_P6,alpha,smartseq2,train
human1_lib1.final_cell_0562,endothelial,inDrop1,train
HP1526901T2D_E15,activated_stellate,smartseq2,train
HP1525301T2D_A17,ductal,smartseq2,validation
human3_lib2.final_cell_0349,alpha,inDrop3,train
human4_lib3.final_cell_0493,beta,inDrop4,train
Sample_1278,alpha,smarter,train
human2_lib3.final_cell_0039,delta,inDrop2,validation
Sample_1099,alpha,smarter,validation
D74_62,acinar,celseq,train
D29-2_93,alpha,celseq2,validation
Sample_147,beta,smarter,test
human4_lib1.final_cell_0167,beta,inDrop4,train
D29-3_39,beta,celseq2,train
human3_lib3.final_cell_0681,gamma,inDrop3,train
3rd-C69_S78,alpha,fluidigmc1,train
D17All1_43,alpha,celseq,train
HP1507101_G13,alpha,smartseq2,train
human3_lib1.final_cell_0708,alpha,inDrop3,validation
12th-C50_S210,alpha,fluidigmc1,train
human3_lib1.final_cell_0467,alpha,inDrop3,train
human3_lib3.final_cell_0145,acinar,inDrop3,train
Sample_1002,alpha,smarter,validation
human3_lib4.final_cell_0485,alpha,inDrop3,train
human1_lib1.final_cell_0260,beta,inDrop1,train
HP1508501T2D_C8,delta,smartseq2,train
human1_lib3.final_cell_0703,beta,inDrop1,train
Sample_1341,alpha,smarter,validation
D29-7_64,alpha,celseq2,train
human3_lib2.final_cell_0451,alpha,inDrop3,test
human4_lib1.final_cell_0565,beta,inDrop4,train
D31-3_16,delta,celseq2,validation
D29-7_71,epsilon,celseq2,validation
human3_lib1.final_cell_0597,alpha,inDrop3,train
human1_lib3.final_cell_0170,alpha,inDrop1,validation
HP1506401_M14,delta,smartseq2,train
human3_lib2.final_cell_0474,acinar,inDrop3,train
human4_lib3.final_cell_0498,alpha,inDrop4,train
Sample_698,beta,smarter,train
human2_lib3.final_cell_0125,ductal,inDrop2,validation
HP1504901_J4,delta,smartseq2,validation
human1_lib3.final_cell_0124,beta,inDrop1,train
HP1504901_P7,ductal,smartseq2,train
HP1507101_H3,alpha,smartseq2,train
human3_lib4.final_cell_0355,acinar,inDrop3,train
Sample_906,beta,smarter,test
HP1525301T2D_D22,ductal,smartseq2,train
human3_lib2.final_cell_0837,alpha,inDrop3,train
human1_lib1.final_cell_0370,delta,inDrop1,train
human3_lib2.final_cell_0036,acinar,inDrop3,train
Sample_551,alpha,smarter,validation
human1_lib2.final_cell_0546,beta,inDrop1,train
human2_lib1.final_cell_0234,activated_stellate,inDrop2,train
human2_lib1.final_cell_0197,endothelial,inDrop2,train
human4_lib1.final_cell_0470,gamma,inDrop4,train
human3_lib4.final_cell_0693,ductal,inDrop3,test
human3_lib3.final_cell_0907,delta,inDrop3,test
human3_lib4.final_cell_0352,ductal,inDrop3,train
D30-6_10,activated_stellate,celseq2,validation
human3_lib2.final_cell_0291,acinar,inDrop3,train
HP1507101_B12,alpha,smartseq2,test
D30-6_12,ductal,celseq2,train
